# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Mon Oct 11 13:38:36 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia DR2 + Tycho2 + 2MASS (all Vegamags, Gaia passbands from Weiler 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag  B_Tmag  V_Tmag  Jmag    Hmag    Ksmag
0.0056 -0.43462 10.11394 0.7024855018 2.3791036606    0.702 -0.459  3.7197  4.574    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-14      0.00 7.852e-01 2.100e-01 8.448e-04 2.285e-04 2.075e-03 -1.000 4.715e-03 5.918 5.869 6.283 6.314 5.284 7.033 6.202 4.612 4.186 4.119
0.0056 -0.43462 10.11394 0.7127606869 2.3838691711    0.713 -0.417  3.7256  4.562    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -2.98e-14      0.00 7.867e-01 2.086e-01 8.376e-04 2.271e-04 2.064e-03 -1.000 4.669e-03 5.812 5.754 6.154 6.184 5.181 6.877 6.074 4.530 4.120 4.055
0.0056 -0.43462 10.11394 0.7228153348 2.3883819580    0.723 -0.375  3.7312  4.549    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -3.31e-14      0.00 7.881e-01 2.072e-01 8.306e-04 2.258e-04 2.053e-03 -1.000 4.676e-03 5.707 5.641 6.027 6.057 5.080 6.725 5.949 4.447 4.052 3.990
0.0056 -0.43462 10.11394 0.7322669625 2.3924942017    0.732 -0.335  3.7364  4.535    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.76e-19      0.00 7.895e-01 2.059e-01 8.241e-04 2.246e-04 2.042e-03 -1.000 4.644e-03 5.607 5.535 5.910 5.939 4.985 6.583 5.832 4.369 3.987 3.927
0.0056 -0.43462 10.11394 0.7451648712 2.3979127407    0.745 -0.279  3.7432  4.515    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-15      0.00 7.913e-01 2.041e-01 8.154e-04 2.229e-04 2.028e-03 -1.000 4.625e-03 5.469 5.389 5.749 5.776 4.855 6.392 5.673 4.260 3.894 3.837
0.0056 -0.43462 10.11394 0.7496132851 2.3997321129    0.749 -0.260  3.7455  4.507    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.56e-14      0.00 7.919e-01 2.035e-01 8.124e-04 2.224e-04 2.024e-03 -1.000 4.598e-03 5.420 5.338 5.693 5.721 4.809 6.327 5.619 4.222 3.861 3.805
0.0056 -0.43462 10.11394 0.7528572083 2.4010431767    0.752 -0.246  3.7470  4.501    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1  -3.5e-14      0.00 7.926e-01 2.029e-01 8.104e-04 2.219e-04 2.019e-03 -1.000 4.578e-03 5.385 5.302 5.654 5.681 4.776 6.281 5.579 4.193 3.836 3.781
0.0056 -0.43462 10.11394 0.7652453780 2.4059324265    0.765 -0.191  3.7525  4.474    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.37e-14      0.00 7.949e-01 2.006e-01 8.028e-04 2.198e-04 2.000e-03 -1.000 4.535e-03 5.247 5.160 5.500 5.526 4.646 6.104 5.428 4.079 3.735 3.682
0.0056 -0.43462 10.11394 0.7765977383 2.4102559090    0.776 -0.138  3.7572  4.447    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.54e-20      0.00 7.970e-01 1.985e-01 7.957e-04 2.179e-04 1.983e-03 -1.000 4.526e-03 5.116 5.026 5.356 5.381 4.523 5.940 5.286 3.970 3.636 3.586
0.0056 -0.43462 10.11394 0.7869826555 2.4140853882    0.786 -0.088  3.7613  4.419    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.96e-17      0.00 7.990e-01 1.965e-01 7.892e-04 2.161e-04 1.968e-03 -1.000 4.495e-03 4.991 4.899 5.220 5.245 4.405 5.786 5.152 3.864 3.539 3.490
