# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Sun Oct  3 12:22:12 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Weiler 2018)
# Attention: photometry includes extinction of Av=0.132, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.0152 0.01508 9.53908 1.1499999762 2.4996678829    1.149  0.356  3.7962  4.279    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.51e-13      0.00 7.603e-01 2.267e-01 2.300e-03 6.301e-04 5.735e-03 -1.000 1.306e-02 3.881 3.868 4.154 4.177 3.417
0.0152 0.01508 9.53908 1.1654964685 2.5019841194    1.164  0.388  3.7975  4.258    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.61e-13      0.00 7.599e-01 2.270e-01 2.308e-03 6.328e-04 5.757e-03 -1.000 1.312e-02 3.799 3.787 4.070 4.093 3.339
0.0152 0.01508 9.53908 1.1807515621 2.5041961670    1.180  0.418  3.7980  4.236    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-13      0.00 7.595e-01 2.273e-01 2.317e-03 6.354e-04 5.782e-03 -1.000 1.319e-02 3.724 3.711 3.993 4.016 3.265
0.0152 0.01508 9.53908 1.1941555738 2.5060861111    1.193  0.443  3.7978  4.215    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1  -1.8e-13      0.00 7.590e-01 2.278e-01 2.327e-03 6.379e-04 5.807e-03 -1.000 1.324e-02 3.663 3.650 3.932 3.955 3.203
0.0152 0.01508 9.53908 1.2000000477 2.5068950653    1.199  0.452  3.7975  4.206    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-13      0.00 7.587e-01 2.280e-01 2.331e-03 6.390e-04 5.818e-03 -1.000 1.325e-02 3.639 3.625 3.908 3.931 3.178
0.0152 0.01508 9.53908 1.2067972422 2.5078244209    1.206  0.465  3.7973  4.196    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.87e-13      0.00 7.587e-01 2.280e-01 2.332e-03 6.390e-04 5.821e-03 -1.000 1.326e-02 3.609 3.595 3.879 3.901 3.148
0.0152 0.01508 9.53908 1.2500000000 2.5134611130    1.249  0.540  3.7951  4.128    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-13      0.00 7.582e-01 2.284e-01 2.337e-03 6.384e-04 5.849e-03 -1.000 1.333e-02 3.421 3.407 3.694 3.717 2.955
0.0152 0.01508 9.53908 1.2687702179 2.5157730579    1.268  0.573  3.7935  4.094    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-13      0.00 7.580e-01 2.286e-01 2.339e-03 6.384e-04 5.856e-03 -1.000 1.334e-02 3.338 3.323 3.614 3.637 2.867
0.0152 0.01508 9.53908 1.2999999523 2.5194499493    1.299  0.630  3.7902  4.035    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.58e-13      0.00 7.576e-01 2.291e-01 2.344e-03 6.394e-04 5.866e-03 -1.000 1.332e-02 3.196 3.181 3.478 3.501 2.718
0.0152 0.01508 9.53908 1.3058884144 2.5201206207    1.305  0.641  3.7894  4.022    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.64e-13      0.00 7.573e-01 2.293e-01 2.346e-03 6.397e-04 5.874e-03 -1.000 1.333e-02 3.168 3.152 3.451 3.475 2.688
0.0152 0.01508 9.53908 1.3225862980 2.5219850540    1.322  0.711  3.7942  3.977    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -3.09e-13      0.00 7.564e-01 2.302e-01 2.354e-03 6.405e-04 5.896e-03 -1.000 1.339e-02 2.993 2.978 3.266 3.289 2.525
0.0152 0.01508 9.53908 1.3254032135 2.5222942829    1.325  0.747  3.7990  3.961    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -3.39e-13      0.00 7.562e-01 2.304e-01 2.356e-03 6.408e-04 5.901e-03 -1.000 1.340e-02 2.902 2.887 3.165 3.187 2.445
0.0152 0.01508 9.53908 1.3265024424 2.5224146843    1.326  0.782  3.8033  3.944    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -3.73e-13      0.00 7.561e-01 2.305e-01 2.356e-03 6.410e-04 5.903e-03 -1.000 1.341e-02 2.816 2.800 3.069 3.091 2.370
0.0152 0.01508 9.53908 1.3269703388 2.5224657059    1.326  0.802  3.8055  3.933    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -3.97e-13      0.00 7.561e-01 2.305e-01 2.357e-03 6.410e-04 5.904e-03 -1.000 1.341e-02 2.765 2.749 3.014 3.035 2.324
0.0152 0.01508 9.53908 1.3273644447 2.5225088596    1.327  0.798  3.8037  3.929    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -3.95e-13      0.00 7.560e-01 2.305e-01 2.357e-03 6.411e-04 5.905e-03 -1.000 1.341e-02 2.775 2.759 3.027 3.049 2.330
0.0152 0.01508 9.53908 1.3341374397 2.5232436657    1.334  0.815  3.7933  3.873    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -4.28e-13      0.00 7.552e-01 2.314e-01 2.364e-03 6.424e-04 5.923e-03 -1.000 1.344e-02 2.733 2.715 3.005 3.028 2.262
0.0152 0.01508 9.53908 1.3452357054 2.5244293213    1.345  0.832  3.7779  3.798    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -4.71e-13      0.00 7.490e-01 2.373e-01 2.408e-03 6.535e-04 6.032e-03 -1.000 1.366e-02 2.689 2.674 2.995 3.021 2.184
0.0152 0.01508 9.53908 1.3500001431 2.5249314308    1.349  0.822  3.7667  3.765    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -4.72e-13      0.00 7.386e-01 2.473e-01 2.486e-03 6.738e-04 6.219e-03 -1.000 1.409e-02 2.716 2.707 3.053 3.081 2.191
0.0152 0.01508 9.53908 1.3513220549 2.5250701904    1.351  0.817  3.7633  3.757    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -4.69e-13      0.00 7.352e-01 2.506e-01 2.512e-03 6.807e-04 6.281e-03 -1.000 1.424e-02 2.728 2.721 3.075 3.104 2.198
0.0152 0.01508 9.53908 1.3542457819 2.5253756046    1.354  0.791  3.7531  3.743    2  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -4.46e-13      0.00 7.278e-01 2.576e-01 2.570e-03 6.961e-04 6.419e-03 -1.000 1.458e-02 2.793 2.794 3.171 3.201 2.248
0.0152 0.01508 9.53908 1.3567668200 2.5256376266    1.356  0.758  3.7425  3.734    2  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -4.14e-13      0.00 7.229e-01 2.623e-01 2.608e-03 7.063e-04 6.510e-03 -1.000 1.476e-02 2.874 2.887 3.288 3.319 2.318
0.0152 0.01508 9.53908 1.3590692282 2.5258762836    1.359  0.729  3.7325  3.724    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-13      0.00 7.198e-01 2.653e-01 2.632e-03 7.126e-04 6.565e-03 -1.000 1.490e-02 2.946 2.974 3.396 3.429 2.383
0.0152 0.01508 9.53908 1.3612494469 2.5261011124    1.361  0.713  3.7240  3.706    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.79e-13      0.00 7.176e-01 2.674e-01 2.647e-03 7.166e-04 6.600e-03 -1.000 1.496e-02 2.986 3.028 3.470 3.504 2.420
0.0152 0.01508 9.53908 1.3638228178 2.5263655186    1.363  0.715  3.7159  3.673    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-13      0.00 7.154e-01 2.695e-01 2.658e-03 7.202e-04 6.629e-03 -1.000 1.503e-02 2.983 3.041 3.500 3.536 2.416
0.0152 0.01508 9.53908 1.3671700954 2.5267078876    1.367  0.744  3.7082  3.615    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -4.38e-13      0.00 7.125e-01 2.724e-01 2.661e-03 7.252e-04 6.657e-03 -1.000 1.509e-02 2.911 2.986 3.463 3.499 2.345
0.0152 0.01508 9.53908 1.3676259518 2.5267543793    1.367  0.749  3.7073  3.606    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1  -4.5e-13      0.00 7.120e-01 2.728e-01 2.659e-03 7.267e-04 6.660e-03 -1.000 1.513e-02 2.896 2.973 3.453 3.489 2.330
0.0152 0.01508 9.53908 1.3695160151 2.5269465446    1.369  0.783  3.7045  3.561    3  0.000  0.513     0.00     0.00     0.00     0.00     0.00 -1 -5.06e-13      0.00 7.095e-01 2.753e-01 2.567e-03 8.062e-04 6.671e-03 -1.000 1.512e-02 2.812 2.895 3.382 3.418 2.247
0.0152 0.01508 9.53908 1.3713421822 2.5271317959    1.371  0.822  3.7020  3.513    3  0.000  0.480     0.00     0.00     0.00     0.00     0.00 -1 -5.79e-13      0.00 7.065e-01 2.783e-01 2.412e-03 9.820e-04 6.681e-03 -1.000 1.516e-02 2.716 2.806 3.298 3.335 2.152
0.0152 0.01508 9.53908 1.3732229471 2.5273218155    1.373  0.865  3.6999  3.462    3  0.000  0.449     0.00     0.00     0.00     0.00     0.00 -1 -6.73e-13      0.00 7.032e-01 2.816e-01 2.256e-03 1.173e-03 6.690e-03 -1.000 1.521e-02 2.609 2.703 3.201 3.237 2.045
0.0152 0.01508 9.53908 1.3754199743 2.5275433064    1.375  0.918  3.6977  3.401    3  0.000  0.423     0.00     0.00     0.00     0.00     0.00 -1  -8.1e-13      0.00 6.997e-01 2.851e-01 2.129e-03 1.330e-03 6.696e-03 -1.000 1.524e-02 2.475 2.576 3.079 3.116 1.913
0.0152 0.01508 9.53908 1.3776943684 2.5277714729    1.377  0.976  3.6955  3.335    3  0.000  0.407     0.00     0.00     0.00     0.00     0.00 -1 -9.92e-13      0.00 6.968e-01 2.879e-01 2.048e-03 1.432e-03 6.701e-03 -1.000 1.529e-02 2.329 2.436 2.945 2.982 1.768
0.0152 0.01508 9.53908 1.3798639774 2.5279884338    1.379  1.036  3.6933  3.267    3  0.000  0.397     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-12      0.00 6.947e-01 2.900e-01 2.000e-03 1.494e-03 6.705e-03 -1.000 1.531e-02 2.181 2.293 2.808 2.845 1.620
